ID,Product,Status,StatusReason,Purchased,Deactivated,City,State,PostalCode,County,Country,Denomination,DenominationalGroup,TWA,OrganizationClass,StaffUsers,CongregantUsers,UsingOpenInvitationModel,UsingMissionInsite,UsingAccounting,UsingOnlineGiving,UsingBackGroundChecks,UsingPathways,UsingCheckin,UsingMobileCheckin,UsingMinistrySmart,UsingRefreshWebsites,TWA_grouped,CongregantUsers_grouped,LikesACS,State_cleaned,MissingValues,Timeline,state_county,Party,Covid
A2CPWA10000G,Realm Connect,Active,,2018-12-03,,Lewes,DE,19958-1319,Sussex,US,Episcopal,Episcopal and Anglican,675,Church,7,0,False,False,True,False,False,False,False,False,False,False,< 1479,< 256,True,DE,0,> 1200 days,DE SUSSEX,REPUBLICAN,False
A2CPWA300008,Realm Connect,Active,,2020-05-12,,Upper Marlboro,MD,20772-7936,Prince Georges,US,African Methodist Episcopal,AME,1200,Church,5,1,False,False,False,False,False,False,False,False,True,False,< 1479,< 256,True,MD,0,Covid Purchase,MD PRINCE GEORGES,DEMOCRAT,True
A2CPWA30000O,Realm Connect,Active,,2018-05-18,,Baltimore,MD,21218-2499,Baltimore City,US,Baptist - CBF,Baptist,400,Church,4,1,False,False,False,True,False,False,False,False,False,False,< 1479,< 256,True,MD,0,> 1200 days,MD BALTIMORE CITY,DEMOCRAT,False
A2CPWA300011,Realm Connect,Active,,2017-05-01,,Seaford,DE,19973-5082,Sussex,US,Methodist - UMC,Methodist,206,Church,2,1,False,False,True,False,False,False,False,False,False,False,< 1479,< 256,True,DE,0,> 1200 days,DE SUSSEX,REPUBLICAN,False
A2CPWA50000E,Realm Connect,Active,,2019-07-18,,Kensington,MD,20895-3827,Montgomery,US,Episcopal,Episcopal and Anglican,,Church,18,59,False,True,False,True,False,False,False,False,False,False,N,< 256,True,MD,1,820 <= days < 1200,MD MONTGOMERY,DEMOCRAT,False
A2CPWA50000G,Realm Connect,Active,,2021-04-29,,North Bethesda,MD,20852-3202,Montgomery,US,Lutheran - ELCA,Lutheran,400,Church,,,False,False,False,False,False,False,False,False,False,False,< 1479,N,True,MD,2,365 <= days < 650,MD MONTGOMERY,DEMOCRAT,False
A2CPWA50000Q,Realm Connect,Active,,2019-10-14,,Temple Hills,MD,20748-4959,Prince Georges,US,Presbyterian - PCUSA,Presbyterian,211,Church,5,0,False,False,False,True,False,False,False,False,False,False,< 1479,< 256,True,MD,0,820 <= days < 1200,MD PRINCE GEORGES,DEMOCRAT,False
A2CPWA60000D,Realm Connect,Active,,2018-01-31,,Stafford,VA,22554-6616,Stafford,US,Non - Denominational,Non - Denominational,275,Church,14,105,False,False,True,True,False,True,True,False,False,False,< 1479,< 256,True,VA,0,> 1200 days,VA STAFFORD,DEMOCRAT,False
A2CPWA60000E,Realm Connect,Active,,2021-04-12,,Paoli,PA,19301-1933,Chester,US,Presbyterian - PCUSA,Presbyterian,939,Church,,,False,False,False,False,False,False,False,False,False,False,< 1479,N,True,PA,2,365 <= days < 650,PA CHESTER,DEMOCRAT,False
A2CPWA60000O,Realm Multiply,Active,,2017-03-03,,Suitland,MD,20746-3247,Prince Georges,US,Non - Denominational,Non - Denominational,200,Church,31,121,False,False,False,True,False,True,False,True,False,False,< 1479,< 256,True,MD,0,> 1200 days,MD PRINCE GEORGES,DEMOCRAT,False
