ID,Product,Status,StatusReason,Purchased,Deactivated,City,State,PostalCode,County,Country,Denomination,DenominationalGroup,TWA,OrganizationClass,StaffUsers,CongregantUsers,HHContributors,UsingOpenInvitationModel,UsingMissionInsite,UsingAccounting,UsingOnlineGiving,UsingBackGroundChecks,UsingPathways,UsingCheckin,UsingMobileCheckin,UsingMinistrySmart,UsingRefreshWebsites
A2CPWA0000EM,Realm Connect,Active,,10/27/2016,,Sterling,VA,20166-3402,Loudoun,US,Methodist - UMC,Methodist,500,Church,19,136,557,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A2CPWA100009,Realm Inform,Active,,9/30/2016,,Richmond,VA,23220-3309,Richmond City,US,Episcopal,Episcopal and Anglican,125,Church,4,0,180,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A2CPWA10000G,Realm Connect,Active,,12/3/2018,,Lewes,DE,19958-1319,Sussex,US,Episcopal,Episcopal and Anglican,290,Church,7,0,699,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A2CPWA300008,Realm Connect,Active,,5/12/2020,,Upper Marlboro,MD,20772-7936,Prince Georges,US,African Methodist Episcopal,AME,225,Church,5,1,215,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A2CPWA30000D,Realm Inform,Active,,6/1/2015,,Taneytown,MD,21787-2015,Carroll,US,United Church of Christ,United Church of Christ,65,Church,1,0,143,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A2CPWA30000O,Realm Connect,Active,,5/18/2018,,Baltimore,MD,21218-2499,Baltimore City,US,Baptist - CBF,Baptist,100,Church,4,1,72,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A2CPWA30000U,Realm Inform,Active,,6/26/2014,,Annapolis,MD,21409-5114,Anne Arundel,US,Methodist - UMC,Methodist,90,Church,4,1,82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A2CPWA300011,Realm Connect,Active,,5/1/2017,,Seaford,DE,19973-5082,Sussex,US,Methodist - UMC,Methodist,175,Church,2,1,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A2CPWA500007,Realm Connect,Active,,9/14/2015,,Baltimore,MD,21218-1019,Baltimore City,US,Presbyterian - PCUSA,Presbyterian,160,Church,6,42,258,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A2CPWA50000E,Realm Connect,Active,,7/18/2019,,Kensington,MD,20895-3827,Montgomery,US,Episcopal,Episcopal and Anglican,100,Church,18,59,211,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A2CPWA50000Q,Realm Connect,Active,,10/14/2019,,Temple Hills,MD,20748-4959,Prince Georges,US,Presbyterian - PCUSA,Presbyterian,65,Church,5,0,101,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A2CPWA60000D,Realm Connect,Active,,1/31/2018,,Stafford,VA,22554-6616,Stafford,US,Non - Denominational,Non - Denominational,230,Church,14,105,149,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
