,Unnamed: 0,City,CongregantUsers,Country,County,DaysOwned,LikesProduct,Deactivated,Denomination,DenominationalGroup,ID,OrganizationClass,PostalCode,Product,Purchased,StaffUsers,State,Status,StatusReason,TWA,Timeline,Unnamed: 0.1.1,UsingAccounting,UsingBackGroundChecks,UsingCheckin,UsingMinistrySmart,UsingMissionInsite,UsingMobileCheckin,UsingOnlineGiving,UsingOpenInvitationModel,UsingPathways,UsingRefreshWebsites,StateCleaned
0,0,Lewes,CU < 50,US,Sussex,1278,True,False,Episcopal,Episcopal and Anglican,A2CPWA10000G,Church,19958-1319,Realm Connect,2018-12-03,7.0,DE,Active,,675.0,> 1200 days,0,True,False,False,False,False,False,False,False,False,False,DE
1,1,Upper Marlboro,CU < 50,US,Prince Georges,752,True,False,African Methodist Episcopal,AME,A2CPWA300008,Church,20772-7936,Realm Connect,2020-05-12,5.0,MD,Active,,1200.0,Covid Purchase,1,False,False,False,True,False,False,False,False,False,False,MD
2,2,Baltimore,CU < 50,US,Baltimore City,1477,True,False,Baptist - CBF,Baptist,A2CPWA30000O,Church,21218-2499,Realm Connect,2018-05-18,4.0,MD,Active,,400.0,> 1200 days,2,False,False,False,False,False,False,True,False,False,False,MD
3,3,Seaford,CU < 50,US,Sussex,1859,True,False,Methodist - UMC,Methodist,A2CPWA300011,Church,19973-5082,Realm Connect,2017-05-01,2.0,DE,Active,,206.0,> 1200 days,3,True,False,False,False,False,False,False,False,False,False,DE
4,4,Kensington,50 <= CU < 200,US,Montgomery,1051,True,False,Episcopal,Episcopal and Anglican,A2CPWA50000E,Church,20895-3827,Realm Connect,2019-07-18,18.0,MD,Active,,,820 <= days < 1200,4,False,False,False,False,True,False,True,False,False,False,MD
5,5,North Bethesda,N,US,Montgomery,400,True,False,Lutheran - ELCA,Lutheran,A2CPWA50000G,Church,20852-3202,Realm Connect,2021-04-29,,MD,Active,,400.0,365 <= days < 650,5,False,False,False,False,False,False,False,False,False,False,MD
6,6,Temple Hills,CU < 50,US,Prince Georges,963,True,False,Presbyterian - PCUSA,Presbyterian,A2CPWA50000Q,Church,20748-4959,Realm Connect,2019-10-14,5.0,MD,Active,,211.0,820 <= days < 1200,6,False,False,False,False,False,False,True,False,False,False,MD
7,7,Stafford,50 <= CU < 200,US,Stafford,1584,True,False,Non - Denominational,Non - Denominational,A2CPWA60000D,Church,22554-6616,Realm Connect,2018-01-31,14.0,VA,Active,,275.0,> 1200 days,7,True,False,True,False,False,False,True,False,True,False,VA
8,8,Paoli,N,US,Chester,417,True,False,Presbyterian - PCUSA,Presbyterian,A2CPWA60000E,Church,19301-1933,Realm Connect,2021-04-12,,PA,Active,,939.0,365 <= days < 650,8,False,False,False,False,False,False,False,False,False,False,PA
9,9,Suitland,50 <= CU < 200,US,Prince Georges,1918,True,False,Non - Denominational,Non - Denominational,A2CPWA60000O,Church,20746-3247,Realm Multiply,2017-03-03,31.0,MD,Active,,200.0,> 1200 days,9,False,False,False,False,False,True,True,False,True,False,MD
10,10,Fredericksburg,50 <= CU < 200,US,Spotsylvania,1101,True,False,Presbyterian - EPC,Presbyterian,A2CPWA600013,Church,22407-5015,Realm Multiply,2019-05-29,8.0,VA,Active,,550.0,820 <= days < 1200,10,True,False,False,False,False,False,True,False,False,False,VA
11,11,Alexandria,N,US,Fairfax,357,True,False,Unitarian,Other,A2CPWA600017,Church,22307-1996,Realm Multiply,2021-06-11,,VA,Active,,400.0,< 1 Yr,11,False,False,False,False,False,False,False,False,False,False,VA
